gross_return,net_return_10bps
-0.014846757142857143,-0.015846757142857142
0.007797396428571429,0.007797396428571429
0.010647160714285708,0.010647160714285708
0.017796814285714297,0.017796814285714297
0.006023625000000001,0.006023625000000001
-0.003084710714285714,-0.003084710714285714
0.0031749714285714287,0.0031749714285714287
-0.0015907142857142856,-0.0015907142857142856
-0.002808296428571429,-0.002808296428571429
-0.005423332142857142,-0.005423332142857142
0.008571375000000003,0.008571375000000003
0.007636635714285713,0.007636635714285713
-0.0037600392857142827,-0.0037600392857142827
-0.003412632142857143,-0.003412632142857143
0.00021270357142857057,0.00021270357142857057
-0.008209214285714292,-0.008209214285714292
-0.028233710714285726,-0.028233710714285726
0.018490478571428565,0.018490478571428565
-0.015686421428571438,-0.015686421428571438
0.015288567857142858,0.015288567857142858
0.017551900000000002,0.017551900000000002
-0.0031682896551724136,-0.003304174992409096
0.013012586206896552,0.013012586206896552
0.007956948275862071,0.007956948275862071
0.0074578275862069,0.0074578275862069
0.0012058068965517233,0.0012058068965517233
0.0008695517241379315,0.0008695517241379315
0.004930134482758622,0.004930134482758622
0.006293499999999998,0.006293499999999998
-0.005003534482758621,-0.005003534482758621
-0.003005517241379311,-0.003005517241379311
-0.003158775862068966,-0.003158775862068966
0.003214982758620689,0.003214982758620689
-0.014873620689655167,-0.014873620689655167
0.00014908275862068884,0.00014908275862068884
0.009600486206896556,0.009600486206896556
-0.02616111379310346,-0.02616111379310346
-0.00035702413793103335,-0.00035702413793103335
0.02533795172413792,0.02533795172413792
-0.01120191379310345,-0.01120191379310345
-0.019647103448275863,-0.019647103448275863
-0.02101524137931033,-0.02101524137931033
0.017877741379310332,0.01766638053861673
-0.007735044827586204,-0.007735044827586204
0.018430748275862073,0.018430748275862073
0.005574627586206895,0.005574627586206895
0.014591817241379312,0.014591817241379312
0.0015850241379310335,0.0015850241379310335
0.009585672413793095,0.009585672413793095
-0.005474848275862071,-0.005474848275862071
0.0015521000000000007,0.0015521000000000007
-0.01658029655172413,-0.01658029655172413
0.0034794620689655165,0.0034794620689655165
0.00683616551724138,0.00683616551724138
-0.010069341379310343,-0.010069341379310343
-0.0087665448275862,-0.0087665448275862
0.005948489655172418,0.005948489655172418
0.01738986551724137,0.01738986551724137
-0.005523472413793102,-0.005523472413793102
-0.00122591724137931,-0.00122591724137931
0.006997541379310343,0.006997541379310343
0.012771575862068974,0.012771575862068974
0.009064299999999989,0.009064299999999989
0.0029876866666666674,0.0028318217492027684
-0.004070143333333334,-0.004070143333333334
0.007179163333333333,0.007179163333333333
0.004760733333333336,0.004760733333333336
0.0006055099999999999,0.0006055099999999999
0.005335950000000002,0.005335950000000002
-0.003156325162426668,-0.003156325162426668
0.012018603333333325,0.012018603333333325
0.0015447433333333337,0.0015447433333333337
-0.008166820000000003,-0.008166820000000003
-0.007006866666666671,-0.007006866666666671
0.01247419,0.01247419
-0.004943343333333336,-0.004943343333333336
0.012811546666666665,0.012811546666666665
0.004212263333333335,0.004212263333333335
-0.0012806466666666666,-0.0012806466666666666
-0.003336149999999999,-0.003336149999999999
0.0006655466666666664,0.0006655466666666664
-0.009273413333333331,-0.009273413333333331
-0.0012654166666666656,-0.0012654166666666656
-0.008562280000000005,-0.008562280000000005
-0.002231303333333335,-0.002361174600139572
-0.0004840000000000011,-0.0004840000000000011
0.009241296666666675,0.009241296666666675
-0.010995956666666666,-0.010995956666666666
-0.004319346666666668,-0.004319346666666668
-0.023582233333333334,-0.023582233333333334
0.009591036666666667,0.009591036666666667
0.018860493333333336,0.018860493333333336
-0.004422283333333334,-0.004422283333333334
-0.0037271299999999995,-0.0037271299999999995
-0.0008585266666666662,-0.0008585266666666662
0.015113466666666664,0.015113466666666664
0.0011852099999999988,0.0011852099999999988
0.009321466666666674,0.009321466666666674
-0.0034167366666666677,-0.0034167366666666677
0.0036908866666666676,0.0036908866666666676
0.003985443333333335,0.003985443333333335
0.002041766666666667,0.002041766666666667
-0.0019925733333333337,-0.0019925733333333337
0.0009947466666666662,0.0009947466666666662
-0.0046181,-0.0046181
0.009819825806451611,0.009696162672086053
0.0012908225806451616,0.0012908225806451616
0.0006409483870967749,0.0006409483870967749
-0.001558612903225806,-0.001558612903225806
0.006435732258064517,0.006435732258064517
0.003710351612903224,0.003710351612903224
0.0006106967741935487,0.0006106967741935487
-0.00325528064516129,-0.00325528064516129
-0.005451754838709679,-0.005451754838709679
0.0009149387096774196,0.0009149387096774196
-0.012757025806451616,-0.012757025806451616
0.01316860000000001,0.01316860000000001
0.005156767741935485,0.005156767741935485
-0.0008706645161290329,-0.0008706645161290329
0.007462990322580642,0.007462990322580642
0.0048944483870967705,0.0048944483870967705
0.0032817580645161295,0.0032817580645161295
0.00010034516129032211,0.00010034516129032211
