method,annualized_volatility_gross,volatility_reduction_vs_sample_gmv,annualized_return_gross,sharpe_gross,cvar_95_daily_gross,maximum_drawdown_gross,average_turnover,annualized_return_net_10bps,annualized_volatility_net_10bps,average_max_stock_weight,average_weight_hhi
Bayesian_IW_GMV,0.12624451728078814,0.005485978106822387,0.11316437391728829,0.9124827350869035,0.018039345058582016,-0.17713027186154118,1.0867499033179038,0.09875448396425424,0.1261892443635668,0.02866970434246837,0.012445233472505876
Sample_Cov_GMV_126d,0.12694091234678265,0.0,0.10494259058553523,0.8497551914652168,0.017938714592017305,-0.18986288103036364,0.4236318851210647,0.09934440138044365,0.12692082810785352,0.026602479768263684,0.01027476335578496
LedoitWolf_GMV_126d,0.13073116081675298,-0.029858367959542997,0.10605392076884512,0.8365395843849879,0.018428203116444566,-0.1962788675113758,0.3732927352375482,0.10111347106079038,0.1307211284445521,0.021462146769126764,0.00791561247196117
Equal_Weight,0.17378993767741713,-0.369061671800895,0.10204640239229579,0.646076199886583,0.024641699508975146,-0.2577293022511409,0.15215066669111357,0.10003337014799274,0.1738073749633617,0.003244260724129018,0.003244260724129018
