epoch,train_loss,elapsed_s
1,0.9521689005391136,3.155973196029663
2,0.9242201123718192,6.587663888931274
3,0.9204742263280908,9.75572419166565
4,0.9189610914254064,12.870997190475464
5,0.9189725330986902,15.976608991622925
6,0.9167241289509529,19.111674308776855
7,0.9147181376736826,22.213948011398315
8,0.9132536638001497,25.34461212158203
9,0.9143494194402745,28.478402137756348
10,0.9130280775393491,31.590911149978638
11,0.9121630112226097,35.04835891723633
12,0.9122532958759687,38.25446605682373
13,0.9125976661581019,41.41402816772461
14,0.9114855261061204,44.54855298995972
15,0.9103248850369329,47.749529123306274
16,0.9104931288988802,50.88075923919678
17,0.9113847672627234,54.01174211502075
18,0.9093332364765138,57.14394187927246
19,0.9091701139330239,60.27166485786438
20,0.9082650947165115,63.43549704551697
21,0.9082498259413305,66.56902718544006
22,0.9073846469686918,69.89219617843628
23,0.9086804787057856,73.01763892173767
24,0.9093753857762402,76.10804104804993
25,0.9078021299152474,79.27731609344482
26,0.9073524079553744,82.46732211112976
27,0.9078767795837362,85.61368703842163
28,0.907844426276172,88.80671000480652
29,0.9071354383105383,91.91155791282654
30,0.9060737691936692,95.0381829738617
31,0.907328978414935,98.15245509147644
32,0.9063291012928748,101.28691625595093
33,0.90556057757108,104.42168927192688
34,0.9051609399743105,107.55286407470703
35,0.9061053934365667,110.67262411117554
36,0.907391819810368,113.84271311759949
37,0.9060833120221243,117.00479507446289
38,0.9063264563757711,120.11910605430603
39,0.905108436161935,123.2512719631195
40,0.9068003004290046,126.40123200416565
41,0.904644411661862,129.52570390701294
42,0.9036823418283961,132.6341519355774
43,0.9050375035920069,135.84221386909485
44,0.9053180252070202,139.34387731552124
45,0.905468420676536,142.53619408607483
46,0.9053095655603559,146.00180792808533
47,0.9046077713448339,149.16132998466492
48,0.904452876894886,152.34898614883423
49,0.9036107148331497,155.59841322898865
50,0.9040644205521539,158.71869897842407
51,0.9050804497527827,161.95321106910706
52,0.9049154424854599,165.15816807746887
53,0.9035302957627162,168.4868721961975
54,0.904536095823293,171.83075094223022
55,0.9052815488027652,175.17078924179077
56,0.9053625212445933,178.43372011184692
57,0.9053931433648963,181.8652002811432
58,0.903819387105747,185.10120916366577
59,0.9035652868098614,188.30476713180542
60,0.9044485529835936,191.43298625946045
61,0.9057478291514032,194.62371516227722
62,0.9054785226496103,198.1168670654297
63,0.903974904829919,201.29546809196472
64,0.9031834193549231,204.4259910583496
65,0.9035235998362147,207.5625331401825
66,0.905248645868601,210.70070505142212
67,0.9054359423084409,213.80972123146057
68,0.9040079974223182,216.9451141357422
69,0.9046193328515397,220.09995007514954
70,0.9038338492678099,223.22856211662292
71,0.9030540865597301,226.34150195121765
72,0.9047145523638002,229.51033186912537
73,0.9043598015114899,232.71024799346924
74,0.9044173274832871,235.82742929458618
75,0.9048722735874316,238.95760798454285
76,0.9038446386447128,242.11342310905457
77,0.9029068623849859,245.27020502090454
78,0.9049473905750595,248.42457604408264
79,0.9021190786392901,251.56515526771545
80,0.9038771944052262,254.69459414482117
81,0.9030478981308913,257.83964490890503
82,0.9040085033596498,260.9862620830536
83,0.9031412479765129,264.1245810985565
84,0.9034857114884242,267.2591371536255
85,0.9032325255465133,270.4127109050751
86,0.9039042870567732,273.52667021751404
87,0.9048256657198461,276.64580607414246
88,0.9022059264295388,279.7557780742645
89,0.9031880460484489,282.90695810317993
90,0.9035324852191965,286.0523579120636
91,0.9036871044267535,289.20717692375183
92,0.9043673598329435,292.3336720466614
93,0.9029827349629077,295.4639639854431
94,0.9026434742967496,298.62679409980774
95,0.902504209916629,301.76367115974426
96,0.9017747728768444,305.13760805130005
97,0.9029770223570119,308.4173400402069
98,0.902726489445926,311.513530254364
99,0.9028686055650261,314.65138006210327
100,0.9029075960526292,317.82234501838684
101,0.9031186895688791,320.9443590641022
102,0.9020324485932345,324.08855414390564
103,0.9026813904184321,327.23923110961914
104,0.9036037024715184,330.38721203804016
105,0.9022853785628424,333.5498299598694
106,0.9031753926220989,336.7215402126312
107,0.903584950647429,339.8530042171478
108,0.9027331756983752,343.0758430957794
109,0.9032272779192599,346.21849513053894
110,0.9043041652565851,349.400621175766
111,0.9030407101540041,352.59992027282715
112,0.9024378586345942,355.8397982120514
113,0.9046604950078495,359.0552270412445
114,0.9031036766879845,362.2173020839691
115,0.9030320016345429,365.40762305259705
116,0.9031151829589724,368.5205729007721
117,0.9022652698749023,371.6392982006073
118,0.9036774968445613,374.7830140590668
119,0.9022553698086614,377.91730213165283
120,0.9035567248054824,381.07432198524475
121,0.903357147000223,384.1968719959259
122,0.9028292197675605,387.34632086753845
123,0.9029863639807826,390.4739148616791
124,0.9024797870694655,393.603844165802
125,0.9022303067576822,396.7677299976349
126,0.903936234054141,399.9151780605316
127,0.9031265519208309,403.03264808654785
128,0.9030067750608733,406.1569290161133
129,0.9033942592393666,409.2897570133209
130,0.9028003633958507,412.476793050766
131,0.9033694562175512,415.60950994491577
132,0.9032154147225525,418.7411861419678
133,0.9030503371623174,421.9213299751282
134,0.9038685337879271,425.06713819503784
135,0.9031534051395835,428.218868970871
136,0.9025771817611774,431.38529109954834
137,0.903195760559037,434.528352022171
138,0.9034086254410719,437.65691804885864
139,0.9024964214463509,440.7963101863861
140,0.9014214847568442,443.9486331939697
141,0.9022175469947735,447.1408362388611
142,0.9028792815058643,450.3524169921875
143,0.9024130201932647,453.5233449935913
144,0.9038528097861724,456.69171619415283
145,0.9025199785438508,459.8693130016327
146,0.9032142720141336,463.0387599468231
147,0.9025218378342883,466.2042660713196
148,0.902040281298897,469.3476490974426
149,0.9024467429253443,472.4945402145386
150,0.9032656847650468,475.6381731033325
151,0.9020668130894606,478.77045822143555
152,0.901572935556242,481.9023721218109
153,0.9019504161405314,485.0244963169098
154,0.9027273108821889,488.19971990585327
155,0.9029101453994581,491.3655502796173
156,0.9026434686795579,494.51342701911926
157,0.9029887123569769,497.6528100967407
158,0.9018161216487435,500.7586851119995
159,0.9033347642858615,503.90338706970215
160,0.9025973560610366,507.0474660396576
161,0.9015936839798983,510.1786172389984
162,0.9019637469845917,513.3164732456207
163,0.903375134418148,516.4576840400696
164,0.901740258744874,519.614669084549
165,0.9019721098907331,522.7303230762482
166,0.9011942926813795,525.8543710708618
167,0.9021840407586222,528.9858109951019
168,0.9021249425972944,532.1278021335602
169,0.9032742705644737,535.3022100925446
170,0.9015271999917105,538.4081611633301
171,0.902840949790016,541.5213451385498
172,0.9024412119419787,544.6430342197418
173,0.9020701161541864,547.7998080253601
174,0.9029472472624005,550.990602016449
175,0.9029162715710894,554.13534116745
176,0.9029211027459948,557.3006238937378
177,0.9020774390216897,560.4613890647888
178,0.9027808590241128,563.5952389240265
179,0.901763756081696,566.7063748836517
180,0.9022187706843721,569.8259530067444
181,0.902707667562974,572.9305112361908
182,0.9022489790829065,576.0699419975281
183,0.9013967651347216,579.2227048873901
184,0.9032549152043478,582.3649671077728
185,0.902784779199755,585.4911000728607
186,0.9013558343755013,588.6224710941315
187,0.9023670796792544,591.7716932296753
188,0.9018672828742971,594.8875291347504
189,0.9026382688764503,598.0230579376221
190,0.901785079019232,601.1576910018921
191,0.9017017589033586,604.2833302021027
192,0.9012178294165596,607.4218189716339
193,0.9023480987205555,610.5310890674591
194,0.9019088481421246,613.6763441562653
195,0.901181349657593,616.8415141105652
196,0.9005608433048139,619.9807019233704
197,0.9011233306992117,623.1903150081635
198,0.9021975415227301,626.3587970733643
199,0.9021453362796943,629.496778011322
200,0.9013619851223461,632.6287679672241
